JEDEC ID,Manufacturer,IC name,size HEX,address 3 or 4 byte,mode write: 0 for page 256 mode 1 for SST AAI word/byte mode 2 for page 32 mode 3 for SST AAI byte,power: 0 for 3.3V 1 for 1.8V 2 for 1.2V
1F4300,ATMEL,AT25DF021,00040000,3,0,0
BF258C,SST,SST25VF020B,00040000,3,1,0
EF6017,Winbond,W25Q64FW,00800000,3,0,1
C22537,Macronix,MX25U6435F,00800000,3,0,1
C22B27,Macronix,MX25S6473F,00800000,3,0,0
C22538,Macronix,MX25U12873F,01000000,3,0,1
C22533,Macronix,MX25U4032E,00080000,3,0,1
C27539,Macronix,MX77U25650F,02000000,4,0,1
C2751A,Macronix,MX77L51250F,04000000,4,0,0
9D1445,ISSI,IS25LQ016,00200000,3,0,0
207018,XMC,XM25QH128,01000000,3,0,0
204019,XMC,XM25RH256,02000000,4,0,0
1F4701,ATMEL,AT25DF321,00400000,3,0,0
1F4700,ATMEL,AT25DF321,00400000,3,0,0
1F4401,ATMEL,AT25DF041,00080000,3,0,0
1F2600,ATMEL,AT45DB61D,00200000,3,0,0
1F2400,ATMEL,AT45DB041D,00080000,3,0,0
514015,GIGADEVICE,MD25Q16,00200000,3,0,0
C22534,Macronix,MX25U8033E,00100000,3,0,1
BF44BF,SST,SST25LF040A,00080000,3,0,0
C22536,Macronix,MX25U3235F,00400000,3,0,1
C22535,Macronix,MX25U16,00200000,3,0,1
C22210,Macronix,MX25L5121E,00010000,3,2,0
EF4019,Winbond,W25Q256 / W25Q256FV,02000000,4,0,0
EF4020,Winbond,W25R512,04000000,4,0,1
EF6020,Winbond,W25R512NWEQ,04000000,4,0,1
C22539,Macronix,MX25U25673GZ,02000000,4,0,1
1F4800,Atmel,AT25DF641,00800000,3,0,0
C22531,Macronix,MX25U1001E,00020000,3,2,1
C22530,Macronix,MX25U5121E,00010000,3,2,1
7F9D46,Chingistek,PM25LQ032C,00400000,3,0,0
131313,ST,M25P80,00100000,3,0,0
1F8501,Adesto,AT25SF081,00100000,3,0,0
C84018,GigaDevice,25B128SIG,01000000,3,0,0
C84019,GigaDevice,25R256DYIG,02000000,4,0,0
C8471A,GigaDevice,GD25B512ME,04000000,4,0,0
C8671A,GigaDevice,GD25LR512ME,04000000,4,0,1
EF4018,Winbond,25Q128JVSQ,01000000,3,0,0
C2813A,Macronix,MX25UM51345G,04000000,4,0,1
C2253A,Macronix,MX25U51293GZ,04000000,4,0,1
C2753A,MACRONIX,MX77U51250FZ,04000000,4,0,1
EF4017,Winbond,W25Q64JVSIQ,00800000,3,0,0
C8601A,GigaDevice,55LR512MY,04000000,4,0,1
204118,XMC,XM25QU128CWIQ,01000000,3,0,1
EF4015,Winbond,W25Q16JVUXIQ,00200000,3,0,0
EF6019,Winbond,W25Q256JWEQ,02000000,4,0,1
012018,Spansion,S25FL128P0XMFI013 (FL128PIF),01000000,3,0,0
010210,SPANSION,S25FL001D,00020000,3,0,0
010211,SPANSION,S25FL002D,00040000,3,0,0
010212,SPANSION,S25FL004A / S25FL004D / S25FL040A,00080000,3,0,0
010213,SPANSION,S25FL008A / S25FL008D,00100000,3,0,0
010214,SPANSION,S25FL016A,00200000,3,0,0
010215,SPANSION,S25FL032A / S25FL032P,00400000,3,0,0
010216,SPANSION,S25FL064A / S25FL064P,00800000,3,0,0
010217,SPANSION,S25FS064S,00800000,3,0,1
